Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,4.627500,4.655000,4.527500,4.622500,4.241148,80020400
2010-01-05,4.605000,4.740000,4.605000,4.690000,4.303082,72864800
2010-01-06,4.687500,4.730000,4.642500,4.720000,4.330606,64916800
2010-01-07,4.695000,4.715000,4.592500,4.627500,4.245738,54779200
2010-01-08,4.590000,4.670000,4.562500,4.637500,4.254913,47816800
2010-01-11,4.662500,4.682500,4.507500,4.572500,4.195275,55661200
2010-01-12,4.505000,4.522500,4.322500,4.417500,4.053062,62743200
2010-01-13,4.447500,4.492500,4.275000,4.477500,4.108112,50886800
2010-01-14,4.422500,4.455000,4.332500,4.407500,4.043888,60852400
2010-01-15,4.375000,4.412500,4.220000,4.277500,3.924613,81819200
2010-01-19,4.245000,4.385000,4.232500,4.357500,3.998012,54532800
2010-01-20,4.302500,4.357500,4.245000,4.340000,3.981957,71972800
2010-01-21,4.337500,4.415000,4.222500,4.262500,3.910849,60863200
2010-01-22,4.212500,4.290000,4.090000,4.115000,3.775518,106791600
2010-01-25,4.182500,4.265000,4.152500,4.185000,3.839743,64367600
2010-01-26,4.165000,4.192500,4.050000,4.052500,3.718174,71463600
2010-01-27,4.050000,4.177500,4.005000,4.162500,3.819100,81250400
2010-01-28,4.195000,4.210000,3.965000,4.022500,3.690650,68776400
2010-01-29,4.067500,4.112500,3.787500,3.847500,3.530087,77470000
2010-02-01,3.862500,4.150000,3.830000,4.142500,3.800749,94983200
2010-02-02,4.127500,4.237500,4.115000,4.185000,3.839743,84981200
2010-02-03,4.147500,4.237500,4.127500,4.220000,3.871855,56229600
2010-02-04,4.182500,4.182500,3.930000,3.975000,3.647068,78348000
2010-02-05,3.970000,4.065000,3.900000,4.055000,3.720469,60485600
2010-02-08,4.042500,4.145000,3.967500,4.047500,3.713588,44516000
2010-02-09,4.112500,4.132500,3.975000,4.015000,3.683769,93014400
2010-02-10,4.040000,4.130000,4.012500,4.092500,3.754876,53582800
2010-02-11,4.157500,4.325000,4.127500,4.280000,3.926907,69598000
2010-02-12,4.250000,4.425000,4.202500,4.337500,3.979663,78021200
2010-02-16,4.395000,4.435000,4.342500,4.417500,4.053062,45702400
2010-02-17,4.472500,4.475000,4.332500,4.460000,4.092055,87656000
2010-02-18,4.215000,4.237500,4.052500,4.167500,3.823688,151550800
2010-02-19,4.150000,4.195000,4.125000,4.145000,3.803042,51054800
2010-02-22,4.162500,4.225000,4.125000,4.152500,3.809924,45808400
2010-02-23,4.165000,4.182500,4.010000,4.052500,3.718174,48976400
2010-02-24,4.087500,4.177500,4.075000,4.137500,3.796164,44586800
2010-02-25,4.042500,4.110000,3.940000,4.100000,3.761755,57697200
2010-02-26,4.080000,4.110000,4.025000,4.050000,3.715881,39339600
2010-03-01,4.052500,4.232500,4.020000,4.212500,3.864975,55586800
2010-03-02,4.250000,4.302500,4.180000,4.210000,3.862682,53864800
2010-03-03,4.235000,4.257500,4.122500,4.157500,3.814512,39930000
2010-03-04,4.175000,4.207500,4.112500,4.165000,3.821393,55739600
2010-03-05,4.135000,4.322500,4.135000,4.292500,3.938375,63283200
2010-03-08,4.295000,4.307500,4.212500,4.230000,3.881030,43931200
2010-03-09,4.272500,4.430000,4.270000,4.387500,4.025537,83083200
2010-03-10,4.375000,4.445000,4.372500,4.397500,4.034712,41852000
2010-03-11,4.362500,4.377500,4.280000,4.297500,3.942962,54066000
2010-03-12,4.345000,4.357500,4.290000,4.312500,3.956725,52035200
2010-03-15,4.307500,4.350000,4.250000,4.290000,3.936080,35890400
2010-03-16,4.287500,4.465000,4.285000,4.440000,4.073707,66498800
2010-03-17,4.465000,4.585000,4.465000,4.525000,4.151695,65116800
2010-03-18,4.532500,4.532500,4.325000,4.365000,4.004893,74096400
2010-03-19,4.430000,4.442500,4.257500,4.312500,3.956725,58461200
2010-03-22,4.257500,4.400000,4.257500,4.382500,4.020952,43533600
2010-03-23,4.415000,4.495000,4.385000,4.472500,4.103523,49361200
2010-03-24,4.435000,4.447500,4.315000,4.322500,3.965900,43625200
2010-03-25,4.385000,4.412500,4.325000,4.335000,3.977369,49518400
2010-03-26,4.372500,4.417500,4.300000,4.335000,3.977369,34467600
2010-03-29,4.362500,4.400000,4.302500,4.390000,4.027829,39445600
2010-03-30,4.440000,4.462500,4.332500,4.407500,4.043888,32410400
2010-03-31,4.390000,4.410000,4.327500,4.350000,3.991132,38984000
2010-04-01,4.370000,4.420000,4.260000,4.305000,3.949844,33966400
2010-04-05,4.332500,4.377500,4.327500,4.370000,4.009482,41363600
2010-04-06,4.315000,4.325000,4.187500,4.262500,3.910849,80926000
2010-04-07,4.235000,4.362500,4.200000,4.290000,3.936080,81746800
2010-04-08,4.262500,4.295000,4.197500,4.220000,3.871855,103760000
2010-04-09,4.210000,4.262500,4.187500,4.247500,3.897089,81757200
2010-04-12,4.252500,4.342500,4.245000,4.325000,3.968192,54646000
2010-04-13,4.342500,4.430000,4.325000,4.415000,4.050770,64869600
2010-04-14,4.510000,4.532500,4.400000,4.470000,4.101233,90072000
2010-04-15,4.485000,4.530000,4.440000,4.502500,4.131051,95759600
2010-04-16,4.320000,4.337500,4.170000,4.265000,3.913144,191773600
2010-04-19,4.232500,4.257500,4.102500,4.245000,3.894794,109449200
2010-04-20,4.275000,4.320000,4.205000,4.260000,3.908556,67818800
2010-04-21,4.282500,4.287500,4.100000,4.150000,3.807631,89590800
2010-04-22,4.082500,4.180000,4.025000,4.167500,3.823688,65693200
2010-04-23,4.155000,4.165000,4.037500,4.110000,3.770931,75291600
2010-04-26,4.115000,4.200000,4.107500,4.150000,3.807631,49109200
2010-04-27,4.120000,4.162500,4.020000,4.032500,3.699825,60670400
2010-04-28,4.030000,4.097500,3.957500,4.040000,3.706706,67216400
2010-04-29,4.052500,4.167500,3.992500,4.162500,3.819100,98712800
2010-04-30,4.112500,4.120000,3.925000,3.927500,3.603487,106804800
2010-05-03,3.947500,3.970000,3.825000,3.885000,3.564493,107897200
2010-05-04,3.825000,3.832500,3.632500,3.687500,3.383286,131137600
2010-05-05,3.612500,3.717500,3.580000,3.625000,3.325943,133084000
2010-05-06,3.600000,3.675000,3.260000,3.550000,3.257130,100288800
2010-05-07,3.582500,3.582500,3.365000,3.490000,3.202080,115371200
2010-05-10,3.700000,3.745000,3.600000,3.640000,3.339705,97915600
2010-05-11,3.605000,3.672500,3.572500,3.600000,3.303005,82912400
2010-05-12,3.625000,3.690000,3.602500,3.670000,3.367231,90123600
2010-05-13,3.655000,3.822500,3.627500,3.662500,3.360348,125200000
2010-05-14,3.415000,3.425000,3.150000,3.240000,2.972704,249306800
2010-05-17,3.245000,3.287500,3.145000,3.247500,2.979586,85606000
2010-05-18,3.275000,3.295000,3.122500,3.140000,2.880955,67411200
2010-05-19,3.125000,3.195000,3.102500,3.190000,2.926829,82652000
2010-05-20,3.097500,3.190000,3.002500,3.115000,2.858017,112913600
2010-05-21,3.025000,3.270000,3.025000,3.182500,2.919948,106960000
2010-05-24,3.172500,3.210000,3.080000,3.090000,2.835078,66456400
2010-05-25,2.992500,3.187500,2.962500,3.172500,2.910773,96665200
2010-05-26,3.300000,3.362500,3.177500,3.187500,2.924536,99502800
2010-05-27,3.267500,3.375000,3.260000,3.375000,3.096568,71356000
2010-05-28,3.370000,3.370000,3.235000,3.285000,3.013993,54511600
2010-06-01,3.240000,3.277500,3.142500,3.145000,2.885542,52749200
2010-06-02,3.150000,3.185000,3.130000,3.180000,2.917655,64908800
2010-06-03,3.115000,3.182500,3.105000,3.175000,2.913067,58636000
2010-06-04,3.082500,3.137500,3.007500,3.025000,2.775442,67145600
2010-06-07,3.037500,3.057500,2.862500,2.875000,2.637816,57724800
2010-06-08,2.862500,2.862500,2.722500,2.795000,2.564416,96763600
2010-06-09,2.810000,2.885000,2.717500,2.727500,2.502486,69715200
2010-06-10,2.782500,2.850000,2.775000,2.837500,2.603411,61176800
2010-06-11,2.807500,2.915000,2.800000,2.902500,2.663048,44210400
2010-06-14,2.945000,2.950000,2.832500,2.840000,2.605705,37508000
2010-06-15,2.872500,2.995000,2.867500,2.980000,2.734155,52863200
2010-06-16,2.960000,2.987500,2.902500,2.942500,2.699748,36648000
2010-06-17,3.045000,3.062500,2.940000,3.055000,2.802968,85906800
2010-06-18,3.072500,3.112500,3.050000,3.075000,2.821317,93283200
2010-06-21,3.140000,3.147500,2.975000,3.002500,2.754798,57983600
2010-06-22,3.040000,3.077500,2.875000,2.890000,2.651580,81816400
2010-06-23,2.917500,2.952500,2.835000,2.922500,2.681397,61406000
2010-06-24,2.905000,2.920000,2.767500,2.777500,2.548360,72502800
2010-06-25,2.797500,2.800000,2.725000,2.770000,2.541479,50722000
2010-06-28,2.790000,2.815000,2.725000,2.775000,2.546066,37200800
2010-06-29,2.715000,2.717500,2.602500,2.620000,2.403854,66080800
2010-06-30,2.625000,2.652500,2.552500,2.552500,2.341922,62307200
2010-07-01,2.560000,2.612500,2.482500,2.595000,2.380917,73700800
2010-07-02,2.605000,2.610000,2.475000,2.562500,2.351097,73709600
2010-07-06,2.552500,2.635000,2.512500,2.535000,2.325866,71202000
2010-07-07,2.545000,2.672500,2.540000,2.657500,2.438261,60841200
2010-07-08,2.675000,2.677500,2.545000,2.577500,2.364861,78327200
2010-07-09,2.590000,2.605000,2.555000,2.587500,2.374034,57151600
2010-07-12,2.587500,2.667500,2.585000,2.635000,2.417616,56539600
2010-07-13,2.677500,2.747500,2.662500,2.730000,2.504779,72331600
2010-07-14,2.850000,2.870000,2.717500,2.757500,2.530010,135566400
2010-07-15,2.760000,2.762500,2.647500,2.680000,2.458904,95308800
2010-07-16,2.680000,2.687500,2.502500,2.512500,2.305223,128860400
2010-07-19,2.547500,2.625000,2.530000,2.615000,2.399267,79844000
2010-07-20,2.547500,2.695000,2.525000,2.680000,2.458904,116098800
2010-07-21,2.705000,2.707500,2.567500,2.592500,2.378622,62494000
2010-07-22,2.620000,2.662500,2.605000,2.635000,2.417616,46261200
2010-07-23,2.632500,2.635000,2.565000,2.590000,2.376328,81760400
2010-07-26,2.582500,2.647500,2.542500,2.637500,2.419910,68354800
2010-07-27,2.645000,2.650000,2.582500,2.615000,2.399267,68347200
2010-07-28,2.572500,2.617500,2.525000,2.532500,2.323573,132080800
2010-07-29,2.350000,2.400000,2.267500,2.282500,2.094197,266447600
2010-07-30,2.265000,2.337500,2.230000,2.297500,2.107960,98428800
2010-08-02,2.337500,2.347500,2.285000,2.295000,2.105665,91702000
2010-08-03,2.277500,2.280000,2.217500,2.235000,2.050617,95544400
2010-08-04,2.255000,2.337500,2.245000,2.330000,2.137778,85549600
2010-08-05,2.337500,2.365000,2.295000,2.360000,2.165303,80050400
2010-08-06,2.350000,2.412500,2.330000,2.387500,2.190535,73990400
2010-08-09,2.412500,2.415000,2.352500,2.410000,2.211179,46645600
2010-08-10,2.370000,2.375000,2.300000,2.310000,2.119428,77256000
2010-08-11,2.262500,2.262500,2.212500,2.220000,2.036854,79614800
2010-08-12,2.180000,2.290000,2.162500,2.240000,2.055202,134358400
2010-08-13,2.312500,2.380000,2.307500,2.347500,2.153834,179739200
2010-08-16,2.315000,2.362500,2.257500,2.287500,2.098785,81400800
2010-08-17,2.310000,2.360000,2.287500,2.317500,2.126310,48122400
2010-08-18,2.310000,2.350000,2.295000,2.330000,2.137778,35292000
2010-08-19,2.355000,2.477500,2.342500,2.470000,2.266229,161510000
2010-08-20,2.452500,2.552500,2.450000,2.492500,2.286873,130530800
2010-08-23,2.500000,2.562500,2.447500,2.455000,2.252467,74862000
2010-08-24,2.375000,2.455000,2.370000,2.430000,2.229529,64133200
2010-08-25,2.402500,2.500000,2.390000,2.480000,2.275403,75753200
2010-08-26,2.512500,2.540000,2.450000,2.450000,2.247879,65759600
2010-08-27,2.465000,2.550000,2.402500,2.530000,2.321279,106041600
2010-08-30,2.500000,2.520000,2.410000,2.410000,2.211179,60280400
2010-08-31,2.375000,2.450000,2.325000,2.332500,2.140073,93148800
2010-09-01,2.367500,2.397500,2.337500,2.350000,2.156128,85144000
2010-09-02,2.357500,2.400000,2.335000,2.392500,2.195122,59629200
