Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,68.720001,69.260002,68.190002,69.150002,40.983109,27809100
2010-01-05,69.190002,69.449997,68.800003,69.419998,41.143143,30174700
2010-01-06,69.449997,70.599998,69.339996,70.019997,41.498722,35044700
2010-01-07,69.900002,70.059998,69.419998,69.800003,41.368347,27192100
2010-01-08,69.690002,69.750000,69.220001,69.519997,41.202404,24891800
2010-01-11,69.940002,70.519997,69.650002,70.300003,41.664661,30685000
2010-01-12,69.720001,69.989998,69.519997,69.949997,41.457241,31496700
2010-01-13,69.959999,70.040001,69.260002,69.669998,41.291294,24884400
2010-01-14,69.540001,69.739998,69.349998,69.680000,41.297222,18630800
2010-01-15,69.650002,69.690002,68.650002,69.110001,40.959400,29411900
2010-01-19,68.739998,69.349998,68.419998,69.269997,41.054230,26081900
2010-01-20,68.559998,68.660004,67.930000,68.029999,40.319313,34629500
2010-01-21,68.120003,68.150002,66.500000,66.699997,39.531052,39114000
2010-01-22,66.519997,67.139999,66.000000,66.099998,39.175461,39085500
2010-01-25,66.550003,66.760002,65.690002,65.849998,39.027298,29305100
2010-01-26,65.639999,66.739998,65.500000,65.919998,39.068779,34083300
2010-01-27,65.660004,66.059998,65.000000,65.540001,38.843567,35723500
2010-01-28,65.849998,65.849998,64.570000,64.959999,38.499805,37349800
2010-01-29,65.150002,65.820000,64.019997,64.430000,38.185719,40880500
2010-02-01,65.769997,66.410004,65.349998,66.180000,39.222885,37703000
2010-02-02,66.730003,67.120003,66.470001,66.959999,39.685169,34057900
2010-02-03,66.879997,67.230003,66.559998,66.599998,39.471794,24024700
2010-02-04,66.269997,66.349998,64.680000,64.720001,38.357578,33858200
2010-02-05,64.699997,64.900002,63.560001,64.800003,38.404999,42297500
2010-02-08,64.910004,65.489998,64.339996,64.349998,38.387085,30519400
2010-02-09,65.110001,65.709999,64.559998,65.199997,38.894146,36243300
2010-02-10,65.080002,65.220001,64.160004,64.849998,38.685356,21699100
2010-02-11,64.690002,65.480003,64.410004,65.239998,38.918007,23555200
2010-02-12,64.620003,65.139999,64.279999,64.800003,38.655540,30636200
2010-02-16,65.440002,66.379997,65.080002,66.279999,39.538399,30514900
2010-02-17,66.339996,66.449997,65.570000,65.760002,39.228226,21821800
2010-02-18,65.800003,66.089996,65.349998,65.959999,39.347515,22536700
2010-02-19,65.589996,66.239998,65.430000,65.870003,39.293835,24264600
2010-02-22,66.099998,66.120003,65.250000,65.400002,39.013454,20469700
2010-02-23,65.260002,65.559998,64.150002,64.940002,38.739048,33372900
2010-02-24,65.010002,65.870003,64.769997,65.550003,39.102936,21469600
2010-02-25,64.610001,65.169998,64.370003,65.139999,38.858368,25668800
2010-02-26,65.260002,65.400002,64.919998,65.000000,38.774841,20129700
2010-03-01,65.360001,65.540001,65.089996,65.400002,39.013454,18798600
2010-03-02,65.660004,65.790001,65.150002,65.489998,39.067127,24823900
2010-03-03,65.769997,65.970001,65.379997,65.430000,39.031349,22279800
2010-03-04,65.349998,65.629997,65.080002,65.400002,39.013454,21961100
2010-03-05,65.959999,66.519997,65.779999,66.470001,39.651749,26837900
2010-03-08,66.769997,66.790001,66.230003,66.480003,39.657715,20297200
2010-03-09,66.320000,67.190002,66.220001,66.779999,39.836689,29003100
2010-03-10,67.160004,67.419998,66.779999,67.220001,40.099144,24810300
2010-03-11,67.389999,67.559998,66.980003,67.220001,40.099144,19357400
2010-03-12,67.580002,67.580002,66.500000,66.800003,39.848610,23361800
2010-03-15,66.669998,66.690002,65.900002,66.300003,39.550350,22070000
2010-03-16,66.550003,66.680000,66.000000,66.570000,39.711414,35103700
2010-03-17,66.910004,67.790001,66.800003,67.360001,40.182671,38770000
